"Код заказа","Клиент","Сотрудник","Дата размещения","Дата назначения","Дата исполнения","Доставка","Стоимость доставки","Получатель","Адрес получателя","Город получателя","Область получателя","Индекс получателя","Страна получателя"
10261,"Que Delicia","Воронова, Дарья",19-07-1996,16-08-1996,30-07-1996,"Почта","3,05р.","Que Delicia","Rua da Panificadora, 12","Рио-де-Жанейро","RJ","02389-673","Бразилия"
10262,"Rattlesnake Canyon Grocery","Крылова, Анна",22-07-1996,19-08-1996,25-07-1996,"Иное","48,29р.","Rattlesnake Canyon Grocery","2817 Milton Dr.","Альбукерке","NM","87110","США"
10263,"Ernst Handel","Ясенева, Инна",23-07-1996,20-08-1996,31-07-1996,"Иное","146,06р.","Ernst Handel","Kirchgasse 6","Грасс",,"8010","Австрия"
10264,"Folk och fa HB","Акбаев, Иван",24-07-1996,21-08-1996,23-08-1996,"Иное","3,67р.","Folk och fa HB","Lkergatan 24","Брекке",,"S-844 67","Швеция"
10265,"Blondel pere et fils","Новиков, Павел",25-07-1996,22-08-1996,12-08-1996,"Ространс","55,28р.","Blondel pere et fils","24, place Kleber","Страсбург",,"67000","Франция"
10266,"Wartian Herkku","Бабкина, Ольга",26-07-1996,06-09-1996,31-07-1996,"Иное","25,73р.","Wartian Herkku","Torikatu 38","Оулу",,"90110","Финляндия"
10267,"Frankenversand","Воронова, Дарья",29-07-1996,26-08-1996,06-08-1996,"Ространс","208,58р.","Frankenversand","Berliner Platz 43","Мюнхен",,"80805","Германия"
10268,"GROSELLA-Restaurante","Крылова, Анна",30-07-1996,27-08-1996,02-08-1996,"Иное","66,29р.","GROSELLA-Restaurante","5S Ave. Los Palos Grandes","Каракас","DF","1081","Венесуэлла"
10269,"White Clover Markets","Кротов, Андрей",31-07-1996,14-08-1996,09-08-1996,"Ространс","4,56р.","White Clover Markets","1029 - 12th Ave. S.","Сиэтл","WA","98124","США"
10270,"Wartian Herkku","Белова, Мария",01-08-1996,29-08-1996,02-08-1996,"Ространс","136,54р.","Wartian Herkku","Torikatu 38","Оулу",,"90110","Финляндия"
10271,"Split Rail Beer & Ale","Акбаев, Иван",01-08-1996,29-08-1996,30-08-1996,"Почта","4,54р.","Split Rail Beer & Ale","P.O. Box 555","Лендер","WY","82520","США"
10272,"Rattlesnake Canyon Grocery","Акбаев, Иван",02-08-1996,30-08-1996,06-08-1996,"Почта","98,03р.","Rattlesnake Canyon Grocery","2817 Milton Dr.","Альбукерке","NM","87110","США"
10273,"QUICK-Stop","Бабкина, Ольга",05-08-1996,02-09-1996,12-08-1996,"Иное","76,07р.","QUICK-Stop","Taucherstrasse 10","Кюневальд",,"01307","Германия"
10274,"Vinette bistro","Акбаев, Иван",06-08-1996,03-09-1996,16-08-1996,"Ространс","6,01р.","Vins et alcools Chevalier","59 rue de l'Abbaye","Реймс",,"51100","Франция"
10275,"Magazzini Alimentari Riuniti","Белова, Мария",07-08-1996,04-09-1996,09-08-1996,"Ространс","26,93р.","Magazzini Alimentari Riuniti","Via Ludovico il Moro 22","Бергамо",,"24100","Италия"
10276,"Tortuga Restaurante","Крылова, Анна",08-08-1996,22-08-1996,14-08-1996,"Иное","13,84р.","Tortuga Restaurante","Avda. Azteca 123","Мехико",,"05033","Мексика"
10277,"Morgenstern Gesundkost","Новиков, Павел",09-08-1996,06-09-1996,13-08-1996,"Иное","125,77р.","Morgenstern Gesundkost","Heerstr. 22","Лейпциг",,"04179","Германия"
10278,"Berglunds snabbkop","Крылова, Анна",12-08-1996,09-09-1996,16-08-1996,"Почта","92,69р.","Berglunds snabbkop","Berguvsvagen  8","Лулео",,"S-958 22","Швеция"
10279,"Lehmanns Marktstand","Крылова, Анна",13-08-1996,10-09-1996,16-08-1996,"Почта","25,83р.","Lehmanns Marktstand","Magazinweg 7","Франкфурт",,"60528","Германия"
10280,"Berglunds snabbkop","Новиков, Павел",14-08-1996,11-09-1996,12-09-1996,"Ространс","8,98р.","Berglunds snabbkop","Berguvsvagen  8","Лулео",,"S-958 22","Швеция"
10281,"Romero y tomillo","Воронова, Дарья",14-08-1996,28-08-1996,21-08-1996,"Ространс","2,94р.","Romero y tomillo","Gran Via, 1","Мадрид",,"28001","Испания"
10282,"Romero y tomillo","Воронова, Дарья",15-08-1996,12-09-1996,21-08-1996,"Ространс","12,69р.","Romero y tomillo","Gran Via, 1","Мадрид",,"28001","Испания"
10283,"LILA-Supermercado","Бабкина, Ольга",16-08-1996,13-09-1996,23-08-1996,"Иное","84,81р.","LILA-Supermercado","Carrera 52 con Ave. Bolivar #65-98 Llano Largo","Баркисимето","Lara","3508","Венесуэлла"
10284,"Lehmanns Marktstand","Воронова, Дарья",19-08-1996,16-09-1996,27-08-1996,"Ространс","76,56р.","Lehmanns Marktstand","Magazinweg 7","Франкфурт",,"60528","Германия"
10285,"QUICK-Stop","Белова, Мария",20-08-1996,17-09-1996,26-08-1996,"Почта","76,83р.","QUICK-Stop","Taucherstrasse 10","Кюневальд",,"01307","Германия"
10286,"QUICK-Stop","Крылова, Анна",21-08-1996,18-09-1996,30-08-1996,"Иное","229,24р.","QUICK-Stop","Taucherstrasse 10","Кюневальд",,"01307","Германия"
10287,"Ricardo Adocicados","Крылова, Анна",22-08-1996,19-09-1996,28-08-1996,"Иное","12,76р.","Ricardo Adocicados","Av. Copacabana, 267","Рио-де-Жанейро","RJ","02389-890","Бразилия"
10288,"Reggiani Caseifici","Воронова, Дарья",23-08-1996,20-09-1996,03-09-1996,"Ространс","7,45р.","Reggiani Caseifici","Strada Provinciale 124","Реджио-Эмилио",,"42100","Италия"
10289,"B's Beverages","Кралев, Петр",26-08-1996,23-09-1996,28-08-1996,"Иное","22,77р.","B's Beverages","Fauntleroy Circus","Лондон",,"EC2 5NT","Великобритания"
10290,"Comercio Mineiro","Крылова, Анна",27-08-1996,24-09-1996,03-09-1996,"Ространс","79,70р.","Comercio Mineiro","Av. dos Lusiadas, 23","Сан-Пауло","SP","05432-043","Бразилия"
10291,"Que Delicia","Акбаев, Иван",27-08-1996,24-09-1996,04-09-1996,"Почта","6,40р.","Que Delicia","Rua da Panificadora, 12","Рио-де-Жанейро","RJ","02389-673","Бразилия"
10292,"Tradiero Hipermercados","Белова, Мария",28-08-1996,25-09-1996,02-09-1996,"Почта","1,35р.","Tradicao Hipermercados","Av. Ines de Castro, 414","Сан-Пауло","SP","05634-030","Бразилия"
10293,"Tortuga Restaurante","Белова, Мария",29-08-1996,26-09-1996,11-09-1996,"Иное","21,18р.","Tortuga Restaurante","Avda. Azteca 123","Мехико",,"05033","Мексика"
10294,"Rattlesnake Canyon Grocery","Воронова, Дарья",30-08-1996,27-09-1996,05-09-1996,"Почта","147,26р.","Rattlesnake Canyon Grocery","2817 Milton Dr.","Альбукерке","NM","87110","США"
10295,"Vinette bistro","Новиков, Павел",02-09-1996,30-09-1996,10-09-1996,"Почта","1,15р.","Vins et alcools Chevalier","59 rue de l'Abbaye","Реймс",,"51100","Франция"
10296,"LILA-Supermercado","Акбаев, Иван",03-09-1996,01-10-1996,11-09-1996,"Ространс","0,12р.","LILA-Supermercado","Carrera 52 con Ave. Bolivar #65-98 Llano Largo","Баркисимето","Lara","3508","Венесуэлла"
10297,"Blondel pere et fils","Кротов, Андрей",04-09-1996,16-10-1996,10-09-1996,"Почта","5,74р.","Blondel pere et fils","24, place Kleber","Страсбург",,"67000","Франция"
10298,"Hungry Owl All-Night Grocers","Акбаев, Иван",05-09-1996,03-10-1996,11-09-1996,"Почта","168,22р.","Hungry Owl All-Night Grocers","8 Johnstown Road","Корк","Co. Cork",,"Ирландия"
10299,"Ricardo Adocicados","Воронова, Дарья",06-09-1996,04-10-1996,13-09-1996,"Почта","29,76р.","Ricardo Adocicados","Av. Copacabana, 267","Рио-де-Жанейро","RJ","02389-890","Бразилия"
10300,"Magazzini Alimentari Riuniti","Новиков, Павел",09-09-1996,07-10-1996,18-09-1996,"Почта","17,68р.","Magazzini Alimentari Riuniti","Via Ludovico il Moro 22","Бергамо",,"24100","Италия"
10301,"Die Wandernde Kuh","Крылова, Анна",09-09-1996,07-10-1996,17-09-1996,"Почта","45,08р.","Die Wandernde Kuh","Adenauerallee 900","Штутгарт",,"70563","Германия"
10302,"Supremes delices","Воронова, Дарья",10-09-1996,08-10-1996,09-10-1996,"Почта","6,27р.","Supremes delices","Boulevard Tirou, 255","Шарлеруа",,"B-6000","Бельгия"
10303,"Godos Cocina Tipica","Кралев, Петр",11-09-1996,09-10-1996,18-09-1996,"Почта","107,83р.","Godos Cocina Tipica","C/ Romero, 33","Севилья",,"41101","Испания"
10304,"Tortuga Restaurante","Белова, Мария",12-09-1996,10-10-1996,17-09-1996,"Почта","63,79р.","Tortuga Restaurante","Avda. Azteca 123","Мехико",,"05033","Мексика"
10305,"Old World Delicatessen","Крылова, Анна",13-09-1996,11-10-1996,09-10-1996,"Иное","257,62р.","Old World Delicatessen","2743 Bering St.","Анкоридж","AK","99508","США"
10306,"Romero y tomillo","Белова, Мария",16-09-1996,14-10-1996,23-09-1996,"Иное","7,56р.","Romero y tomillo","Gran Via, 1","Мадрид",,"28001","Испания"
10307,"Lonesome Pine Restaurant","Новиков, Павел",17-09-1996,15-10-1996,25-09-1996,"Почта","0,56р.","Lonesome Pine Restaurant","89 Chiaroscuro Rd.","Портленд","OR","97219","США"
10308,"Ana Trujillo Emparelados","Кралев, Петр",18-09-1996,16-10-1996,24-09-1996,"Почта","1,61р.","Ana Trujillo Emparedados y helados","Avda. de la Constitucion 2222","Мехико",,"05021","Мексика"
10309,"Hungry Owl All-Night Grocers","Бабкина, Ольга",19-09-1996,17-10-1996,23-10-1996,"Ространс","47,30р.","Hungry Owl All-Night Grocers","8 Johnstown Road","Корк","Co. Cork",,"Ирландия"
10310,"The Big Cheese","Крылова, Анна",20-09-1996,18-10-1996,27-09-1996,"Почта","17,52р.","The Big Cheese","89 Jefferson Way
Suite 2","Портленд","OR","97201","США"
10311,"Du monde entier","Белова, Мария",20-09-1996,04-10-1996,26-09-1996,"Иное","24,69р.","Du monde entier","67, rue des Cinquante Otages","Нант",,"44000","Франция"
10312,"Die Wandernde Kuh","Новиков, Павел",23-09-1996,21-10-1996,03-10-1996,"Почта","40,26р.","Die Wandernde Kuh","Adenauerallee 900","Штутгарт",,"70563","Германия"
10313,"QUICK-Stop","Новиков, Павел",24-09-1996,22-10-1996,04-10-1996,"Почта","1,96р.","QUICK-Stop","Taucherstrasse 10","Кюневальд",,"01307","Германия"
10314,"Rattlesnake Canyon Grocery","Белова, Мария",25-09-1996,23-10-1996,04-10-1996,"Почта","74,16р.","Rattlesnake Canyon Grocery","2817 Milton Dr.","Альбукерке","NM","87110","США"
10315,"Island Trading","Воронова, Дарья",26-09-1996,24-10-1996,03-10-1996,"Почта","41,76р.","Island Trading","Garden House
Crowther Way","Cowes","Isle of White","PO31 7PJ","Великобритания"
10316,"Rattlesnake Canyon Grocery","Белова, Мария",27-09-1996,25-10-1996,08-10-1996,"Иное","150,15р.","Rattlesnake Canyon Grocery","2817 Milton Dr.","Альбукерке","NM","87110","США"
10317,"Lonesome Pine Restaurant","Акбаев, Иван",30-09-1996,28-10-1996,10-10-1996,"Ространс","12,69р.","Lonesome Pine Restaurant","89 Chiaroscuro Rd.","Портленд","OR","97219","США"
10318,"Island Trading","Крылова, Анна",01-10-1996,29-10-1996,04-10-1996,"Почта","4,73р.","Island Trading","Garden House
Crowther Way","Cowes","Isle of White","PO31 7PJ","Великобритания"
10319,"Tortuga Restaurante","Кралев, Петр",02-10-1996,30-10-1996,11-10-1996,"Иное","64,50р.","Tortuga Restaurante","Avda. Azteca 123","Мехико",,"05033","Мексика"
10320,"Wartian Herkku","Кротов, Андрей",03-10-1996,17-10-1996,18-10-1996,"Иное","34,57р.","Wartian Herkku","Torikatu 38","Оулу",,"90110","Финляндия"
10321,"Island Trading","Бабкина, Ольга",03-10-1996,31-10-1996,11-10-1996,"Почта","3,43р.","Island Trading","Garden House
Crowther Way","Cowes","Isle of White","PO31 7PJ","Великобритания"
10322,"Pericles Comidas clasicas","Кралев, Петр",04-10-1996,01-11-1996,23-10-1996,"Иное","0,40р.","Pericles Comidas clasicas","Calle Dr. Jorge Cash 321","Мехико",,"05033","Мексика"
10323,"Koniglich Essen","Воронова, Дарья",07-10-1996,04-11-1996,14-10-1996,"Ространс","4,88р.","Koniglich Essen","Maubelstr. 90","Бранденбург",,"14776","Германия"
10324,"Save-a-lot Markets","Ясенева, Инна",08-10-1996,05-11-1996,10-10-1996,"Ространс","214,27р.","Save-a-lot Markets","187 Suffolk Ln.","Буа","ID","83720","США"
10325,"Koniglich Essen","Белова, Мария",09-10-1996,23-10-1996,14-10-1996,"Иное","64,86р.","Koniglich Essen","Maubelstr. 90","Бранденбург",,"14776","Германия"
10326,"Bolido Comidas preparadas","Воронова, Дарья",10-10-1996,07-11-1996,14-10-1996,"Почта","77,92р.","Bolido Comidas preparadas","C/ Araquil, 67","Мадрид",,"28023","Испания"
10327,"Folk och fa HB","Новиков, Павел",11-10-1996,08-11-1996,14-10-1996,"Ространс","63,36р.","Folk och fa HB","Lkergatan 24","Брекке",,"S-844 67","Швеция"
10328,"Furia Bacalhau e Frutos do Mar","Воронова, Дарья",14-10-1996,11-11-1996,17-10-1996,"Иное","87,03р.","Furia Bacalhau e Frutos do Mar","Jardim das rosas n. 32","Лиссабон",,"1675","Португалия"
10329,"Split Rail Beer & Ale","Воронова, Дарья",15-10-1996,26-11-1996,23-10-1996,"Почта","191,67р.","Split Rail Beer & Ale","P.O. Box 555","Лендер","WY","82520","США"
10330,"LILA-Supermercado","Бабкина, Ольга",16-10-1996,13-11-1996,28-10-1996,"Ространс","12,75р.","LILA-Supermercado","Carrera 52 con Ave. Bolivar #65-98 Llano Largo","Баркисимето","Lara","3508","Венесуэлла"
10331,"Bon app'","Ясенева, Инна",16-10-1996,27-11-1996,21-10-1996,"Ространс","10,19р.","Bon app'","12, rue des Bouchers","Марсель",,"13008","Франция"
10332,"Mere Paillarde","Бабкина, Ольга",17-10-1996,28-11-1996,21-10-1996,"Почта","52,84р.","Mere Paillarde","43 rue St. Laurent","Монреаль","Quebec","H1J 1C3","Канада"
10333,"Wartian Herkku","Кротов, Андрей",18-10-1996,15-11-1996,25-10-1996,"Иное","0,59р.","Wartian Herkku","Torikatu 38","Оулу",,"90110","Финляндия"
10334,"Victuailles en stock","Крылова, Анна",21-10-1996,18-11-1996,28-10-1996,"Почта","8,56р.","Victuailles en stock","2, rue du Commerce","Лион",,"69004","Франция"
10335,"Hungry Owl All-Night Grocers","Кралев, Петр",22-10-1996,19-11-1996,24-10-1996,"Почта","42,11р.","Hungry Owl All-Night Grocers","8 Johnstown Road","Корк","Co. Cork",,"Ирландия"
10336,"Princesa Isabel Vinhos","Кралев, Петр",23-10-1996,20-11-1996,25-10-1996,"Почта","15,51р.","Princesa Isabel Vinhos","Estrada da saude n. 58","Лиссабон",,"1756","Португалия"
10337,"Frankenversand","Воронова, Дарья",24-10-1996,21-11-1996,29-10-1996,"Иное","108,26р.","Frankenversand","Berliner Platz 43","Мюнхен",,"80805","Германия"
10338,"Old World Delicatessen","Воронова, Дарья",25-10-1996,22-11-1996,29-10-1996,"Иное","84,21р.","Old World Delicatessen","2743 Bering St.","Анкоридж","AK","99508","США"
10339,"Mere Paillarde","Новиков, Павел",28-10-1996,25-11-1996,04-11-1996,"Почта","15,66р.","Mere Paillarde","43 rue St. Laurent","Монреаль","Quebec","H1J 1C3","Канада"
10340,"Bon app'","Белова, Мария",29-10-1996,26-11-1996,08-11-1996,"Иное","166,31р.","Bon app'","12, rue des Bouchers","Марсель",,"13008","Франция"
10341,"Simons bistro","Кралев, Петр",29-10-1996,26-11-1996,05-11-1996,"Иное","26,78р.","Simons bistro","Vinbaeltet 34","Копенгаген",,"1734","Дания"
10342,"Frankenversand","Воронова, Дарья",30-10-1996,13-11-1996,04-11-1996,"Почта","54,83р.","Frankenversand","Berliner Platz 43","Мюнхен",,"80805","Германия"
10343,"Lehmanns Marktstand","Воронова, Дарья",31-10-1996,28-11-1996,06-11-1996,"Ространс","110,37р.","Lehmanns Marktstand","Magazinweg 7","Франкфурт",,"60528","Германия"
10344,"White Clover Markets","Воронова, Дарья",01-11-1996,29-11-1996,05-11-1996,"Почта","23,29р.","White Clover Markets","1029 - 12th Ave. S.","Сиэтл","WA","98124","США"
10345,"QUICK-Stop","Новиков, Павел",04-11-1996,02-12-1996,11-11-1996,"Почта","249,06р.","QUICK-Stop","Taucherstrasse 10","Кюневальд",,"01307","Германия"
10346,"Rattlesnake Canyon Grocery","Бабкина, Ольга",05-11-1996,17-12-1996,08-11-1996,"Иное","142,08р.","Rattlesnake Canyon Grocery","2817 Milton Dr.","Альбукерке","NM","87110","США"
10347,"Familia Arquibaldo","Воронова, Дарья",06-11-1996,04-12-1996,08-11-1996,"Иное","3,10р.","Familia Arquibaldo","Rua Oros, 92","Сан-Пауло","SP","05442-030","Бразилия"
10348,"Die Wandernde Kuh","Воронова, Дарья",07-11-1996,05-12-1996,15-11-1996,"Почта","0,78р.","Die Wandernde Kuh","Adenauerallee 900","Штутгарт",,"70563","Германия"
10349,"Split Rail Beer & Ale","Кралев, Петр",08-11-1996,06-12-1996,15-11-1996,"Ространс","8,63р.","Split Rail Beer & Ale","P.O. Box 555","Лендер","WY","82520","США"
10350,"La maison d'Asie","Акбаев, Иван",11-11-1996,09-12-1996,03-12-1996,"Почта","64,19р.","La maison d'Asie","1 rue Alsace-Lorraine","Тулуза",,"31000","Франция"
10351,"Ernst Handel","Белова, Мария",11-11-1996,09-12-1996,20-11-1996,"Ространс","162,33р.","Ernst Handel","Kirchgasse 6","Грасс",,"8010","Австрия"
10352,"Furia Bacalhau e Frutos do Mar","Бабкина, Ольга",12-11-1996,26-11-1996,18-11-1996,"Иное","1,30р.","Furia Bacalhau e Frutos do Mar","Jardim das rosas n. 32","Лиссабон",,"1675","Португалия"
10353,"Piccolo und mehr","Кралев, Петр",13-11-1996,11-12-1996,25-11-1996,"Иное","360,63р.","Piccolo und mehr","Geislweg 14","Зальцбург",,"5020","Австрия"
10354,"Pericles Comidas clasicas","Крылова, Анна",14-11-1996,12-12-1996,20-11-1996,"Иное","53,80р.","Pericles Comidas clasicas","Calle Dr. Jorge Cash 321","Мехико",,"05033","Мексика"
10355,"Around the Horn","Акбаев, Иван",15-11-1996,13-12-1996,20-11-1996,"Ространс","41,95р.","Around the Horn","Brook Farm
Stratford St. Mary","Колчестер","Essex","CO7 6JX","Великобритания"
10356,"Die Wandernde Kuh","Акбаев, Иван",18-11-1996,16-12-1996,27-11-1996,"Почта","36,71р.","Die Wandernde Kuh","Adenauerallee 900","Штутгарт",,"70563","Германия"
10357,"LILA-Supermercado","Белова, Мария",19-11-1996,17-12-1996,02-12-1996,"Иное","34,88р.","LILA-Supermercado","Carrera 52 con Ave. Bolivar #65-98 Llano Largo","Баркисимето","Lara","3508","Венесуэлла"
10358,"La maison d'Asie","Кротов, Андрей",20-11-1996,18-12-1996,27-11-1996,"Ространс","19,64р.","La maison d'Asie","1 rue Alsace-Lorraine","Тулуза",,"31000","Франция"
10359,"Seven Seas Imports","Кротов, Андрей",21-11-1996,19-12-1996,26-11-1996,"Иное","288,43р.","Seven Seas Imports","90 Wadhurst Rd.","Лондон",,"OX15 4NB","Великобритания"
10360,"Blondel pere et fils","Воронова, Дарья",22-11-1996,20-12-1996,02-12-1996,"Иное","131,70р.","Blondel pere et fils","24, place Kleber","Страсбург",,"67000","Франция"
10361,"QUICK-Stop","Белова, Мария",22-11-1996,20-12-1996,03-12-1996,"Почта","183,17р.","QUICK-Stop","Taucherstrasse 10","Кюневальд",,"01307","Германия"
10362,"Bon app'","Крылова, Анна",25-11-1996,23-12-1996,28-11-1996,"Почта","96,04р.","Bon app'","12, rue des Bouchers","Марсель",,"13008","Франция"
10363,"Drachenblut Delikatessen","Воронова, Дарья",26-11-1996,24-12-1996,04-12-1996,"Иное","30,54р.","Drachenblut Delikatessen","Walserweg 21","Ахен",,"52066","Германия"
10364,"Eastern Connection","Белова, Мария",26-11-1996,07-01-1997,04-12-1996,"Ространс","71,97р.","Eastern Connection","35 King George","Лондон",,"WX3 6FW","Великобритания"
10365,"Antonio Moreno Taqueria","Бабкина, Ольга",27-11-1996,25-12-1996,02-12-1996,"Почта","22,00р.","Antonio Moreno Taqueria","Mataderos  2312","Мехико",,"05023","Мексика"
10366,"Galeria del gastrуnomo","Крылова, Анна",28-11-1996,09-01-1997,30-12-1996,"Почта","10,14р.","Galeria del gastronomo","Rambla de Cataluna, 23","Барселона",,"8022","Испания"
10367,"Vaffeljernet","Кралев, Петр",28-11-1996,26-12-1996,02-12-1996,"Иное","13,55р.","Vaffeljernet","Smagsloget 45","Орхус",,"8200","Дания"
10368,"Ernst Handel","Новиков, Павел",29-11-1996,27-12-1996,02-12-1996,"Почта","101,95р.","Ernst Handel","Kirchgasse 6","Грасс",,"8010","Австрия"
10369,"Split Rail Beer & Ale","Крылова, Анна",02-12-1996,30-12-1996,09-12-1996,"Почта","195,68р.","Split Rail Beer & Ale","P.O. Box 555","Лендер","WY","82520","США"
10370,"Chop-suey Chinese","Акбаев, Иван",03-12-1996,31-12-1996,27-12-1996,"Почта","1,17р.","Chop-suey Chinese","Hauptstr. 31","Берн",,"3012","Швейцария"
10371,"La maison d'Asie","Белова, Мария",03-12-1996,31-12-1996,24-12-1996,"Ространс","0,45р.","La maison d'Asie","1 rue Alsace-Lorraine","Тулуза",,"31000","Франция"
10372,"Queen Cozinha","Кротов, Андрей",04-12-1996,01-01-1997,09-12-1996,"Почта","890,78р.","Queen Cozinha","Alameda dos Canarios, 891","Сан-Пауло","SP","05487-020","Бразилия"
10373,"Hungry Owl All-Night Grocers","Воронова, Дарья",05-12-1996,02-01-1997,11-12-1996,"Иное","124,12р.","Hungry Owl All-Night Grocers","8 Johnstown Road","Корк","Co. Cork",,"Ирландия"
10374,"Wolski  Zajazd","Белова, Мария",05-12-1996,02-01-1997,09-12-1996,"Иное","3,94р.","Wolski Zajazd","ul. Filtrowa 68","Варшава",,"01-012","Польша"
10375,"Hungry Coyote Import Store","Бабкина, Ольга",06-12-1996,03-01-1997,09-12-1996,"Почта","20,12р.","Hungry Coyote Import Store","City Center Plaza
516 Main St.","Элгин","OR","97827","США"
10376,"Mere Paillarde","Белова, Мария",09-12-1996,06-01-1997,13-12-1996,"Почта","20,39р.","Mere Paillarde","43 rue St. Laurent","Монреаль","Quebec","H1J 1C3","Канада"
10377,"Seven Seas Imports","Белова, Мария",09-12-1996,06-01-1997,13-12-1996,"Иное","22,21р.","Seven Seas Imports","90 Wadhurst Rd.","Лондон",,"OX15 4NB","Великобритания"
10378,"Folk och fa HB","Кротов, Андрей",10-12-1996,07-01-1997,19-12-1996,"Иное","5,44р.","Folk och fa HB","Lkergatan 24","Брекке",,"S-844 67","Швеция"
10379,"Que Delicia","Новиков, Павел",11-12-1996,08-01-1997,13-12-1996,"Ространс","45,03р.","Que Delicia","Rua da Panificadora, 12","Рио-де-Жанейро","RJ","02389-673","Бразилия"
10380,"Hungry Owl All-Night Grocers","Крылова, Анна",12-12-1996,09-01-1997,16-01-1997,"Иное","35,03р.","Hungry Owl All-Night Grocers","8 Johnstown Road","Корк","Co. Cork",,"Ирландия"
10381,"LILA-Supermercado","Бабкина, Ольга",12-12-1996,09-01-1997,13-12-1996,"Иное","7,99р.","LILA-Supermercado","Carrera 52 con Ave. Bolivar #65-98 Llano Largo","Баркисимето","Lara","3508","Венесуэлла"
10382,"Ernst Handel","Воронова, Дарья",13-12-1996,10-01-1997,16-12-1996,"Ространс","94,77р.","Ernst Handel","Kirchgasse 6","Грасс",,"8010","Австрия"
10383,"Around the Horn","Воронова, Дарья",16-12-1996,13-01-1997,18-12-1996,"Иное","34,24р.","Around the Horn","Brook Farm
Stratford St. Mary","Колчестер","Essex","CO7 6JX","Великобритания"
10384,"Berglunds snabbkop","Бабкина, Ольга",16-12-1996,13-01-1997,20-12-1996,"Иное","168,64р.","Berglunds snabbkop","Berguvsvagen  8","Лулео",,"S-958 22","Швеция"
10385,"Split Rail Beer & Ale","Белова, Мария",17-12-1996,14-01-1997,23-12-1996,"Почта","30,96р.","Split Rail Beer & Ale","P.O. Box 555","Лендер","WY","82520","США"
10386,"Familia Arquibaldo","Ясенева, Инна",18-12-1996,01-01-1997,25-12-1996,"Иное","13,99р.","Familia Arquibaldo","Rua Oros, 92","Сан-Пауло","SP","05442-030","Бразилия"
10387,"Santu Gourmet","Белова, Мария",18-12-1996,15-01-1997,20-12-1996,"Почта","93,63р.","Sante Gourmet","Erling Skakkes gate 78","Ставерен",,"4110","Норвегия"
10388,"Seven Seas Imports","Новиков, Павел",19-12-1996,16-01-1997,20-12-1996,"Ространс","34,86р.","Seven Seas Imports","90 Wadhurst Rd.","Лондон",,"OX15 4NB","Великобритания"
